name,kills
polkomgyy44,43
KisarakiTH,39
Croezg,38
mrflipsflapz,55
pancake_w1,32
chickenkampong,29
takutoa02,29
korvegi,58
anathaliakdc,25
Luqman_indo,43
STrockingUrDjcxK_4Ks,55
camper8903,61
Kazuyuki_Owen,46
officerngelo,26
spikey_001,46
nickthegodrider1289,50
L1MEO1,58
ViktorInvicta,0

Dawnftb,25
polkomgyy44,64
xQc0wxHasan,23
chickenkampong,40
spikey_001,41
kite_167,35
supermanakmeeee_twin,25
zZRabbitsZz,27
FrailBailen,52
chanmeme1,44
commander_cookie1234,33
pancake_w1,34
jgwen19,46
burnfield1k22,78
TAMKOLEMK23,41
jamesplayztv1,50
Indonesia_ofMalaysia,35
Mitsubira_Aratoshi,77
pensmen,54
Croezg,35
nickthegodrider1289,36
Gariksz,63
Oscarchoyzy24,87
Cheeky_Grub,35
DabbustBailen,52
anathaliakdc,18
robuihoan,27
Luqman_indo,27


Dawnftb,52
Indonesia_ofMalaysia,42
kite_167,43
SireHalo,19
999j444,8
chickenkampong,37
jgwen19,49
bench3,57
burnfield1k22,55
Kazuyuki_Owen,46
Luqman_indo,44
Croezg,41
jamesplayztv1,37
Gariksz,61
spikey_001,37
Oscarchoyzy24,81
Scornful_X,44
Mrbombinleipzig,10
pancake_w1,19
jiajun129,21
ConesOdebrecht,62
GildedMikado,24
jayneeddollar,47
gerardanthony22,32
pancakehateruwu,43
Mitsubira_Aratoshi,63
gst44444,43
Sumardisam,51
polkomgyy44,44
rg66666666,24
theDogeboiiz,39
camper8903,45
commander_cookie1234,36
officerngelo,7
TheArcheryOfWisdom,38
nickthegodrider1289,1

diwdwoa,51
Dawnftb,52
polkomgyy44,65
pensmen,71
spikey_001,55
Mitsubira_Aratoshi,78
burnfield1k22,58
mrflipsflapz,52
kite_167,41
bigshockwave99,67
chickenkampong,29
pancake_w1,46
CommanderHikari,52
anathaliakdc,27
Luqman_indo,51
jgwen19,57
mgim123,64
Indonesia_ofMalaysia,52
SeaV1per1224,77
ConesOdebrecht,75
gyftfdko,35
nickthegodrider1289,37
OblivionSectis,95
ckpoa20,38
tsogoo125,88
Croezg,47
Kazuyuki_Owen,63
Oscarchoyzy24,19
commander_cookie1234,45
jiajun129,38
GGXDArusha,43
jamesplayztv1,44
chanmeme1,17
fliqpy82929,26


SomeRandomBucketName,68
diwdwoa,58
Luqman_indo,31
chickenkampong,49
tsogoo125,84
Mitsubira_Aratoshi,68
jellyy112345,36
jgwen19,74
pensmen,50
Hparso1524,49
MarionnJames2307,49
GGXDArusha,41
jamesplayztv1,55
Dawnftb,29
nickthegodrider1289,16
CommanderHikari,47
imnotharingyou,8
MarioUlici200702,61
user30012345,19
Oscarchoyzy24,83
anathaliakdc,29
gtmsgamerG,30
FrailBailen,58
SeaV1per1224,61
bigshockwave99,58
commander_cookie1234,38
ConesOdebrecht,87
mekeyroberto,40
kite_167,42
fliqpy82929,31
spikey_001,38
Indonesia_ofMalaysia,47
SupremeDom5162,2

jgwen19,70
Dawnftb,34
Hparso1524,36
MarionnJames2307,61
chickenkampong,47
spikey_001,51
kurtdylan1111,15
nickthegodrider1289,37
jamesplayztv1,50
FrailBailen,25
pancake_w1,32
DcypL_Sky,81
burnfield1k22,53
GGXDArusha,39
jellyy112345,49
buddyboil1,63
tsogoo125,66
SeaV1per1224,58
anathaliakdc,42
pensmen,49
gyftfdko,53
Indonesia_ofMalaysia,47
chanmeme1,51
cn191981,47
Oscarchoyzy24,83
Luqman_indo,7
Liklyboos221,31
midnight_karsonwolf,5
ideacentre,38
