name,kills,date
diwdwoa,55,2025-01-28
tsogoo125,24,2025-01-28
Kazuyuki_Owen,51,2025-01-28
jgwen19,43,2025-01-28
Mitsubira_Aratoshi,68,2025-01-28
snowsoldier_9775,17,2025-01-28
takutoa02,30,2025-01-28
Scornful_X,49,2025-01-28
officerngelo,14,2025-01-28
GGXDArusha,48,2025-01-28
Awesomegunner778,49,2025-01-28
fliqpy82929,27,2025-01-28
SireHalo,15,2025-01-28
elementhknight123,54,2025-01-28
Wepingbell2,34,2025-01-28
Mitzuki525,31,2025-01-28
Elementalmoron,39,2025-01-28
rg66666666,36,2025-01-28
FrailBailen,58,2025-01-28
star_dustriver,37,2025-01-28
anathaliakdc,28,2025-01-28
Luqman_indo,35,2025-01-28
Sumardisam,48,2025-01-28
TYT012017,21,2025-01-28
burnfield1k22,59,2025-01-28
ViktorInvicta,52,2025-01-28
jellyy112345,39,2025-01-28
spikey_001,42,2025-01-28
infantry154111,14,2025-01-28
camper8903,45,2025-01-28
ChickenDonkeyDog,59,2025-01-28
pensmen,26,2025-01-28
Logiclist,8,2025-01-28
